doc_id,serial,petition_id,title,body,signature_count,signature_threshold,deadline,status,issues
0,6,4e7b35898d8c37d975000000,Grant voters the ability to vote for the President of the United States by dissolving the electoral college.,"The elections of 1824, 1876, 1888, and 2000 produced an Electoral College winner who did not receive the plurality of the nationwide popular vote - that is, the American people did not get the President democracy should have selected.

Due to the way electoral votes are allocated, candidates have a strong incentive to focus their campaigns on ""swing"" states with many voters, such as Florida, and neglect states such as Texas which do not swing.   Due to necessary rounding errors when allocating votes, members of a sparsely populated state effectively accrue more voting power than members of a well-populated state.  This increases the electoral power of members of certain states while reducing it for others on an ongoing basis.

We beg our leaders to dissolve this system and let us vote.",29311,5000,30,Reviewed,"Civil Rights & Equality,Government & Regulatory Reform"
1,11,4e7b3623709f036e7a000002,Reject the Keystone XL Pipeline,"The proposed Keystone XL pipeline threatens our water, our land, and our future. If permitted and constructed, the pipeline would further fuel the devastating extraction of tar sands in Alberta, and funnel highly toxic tar sands oil across the U.S.

Big Oil has exploited the Canadian tar sands to great profit, but the environment and indigenous communities have paid a steep price.

The threat that pipeline spills pose to our land and water supplies is simply unacceptable.

Additionally, tar sands oil produces three times as much carbon pollution as conventional oil. We have a moral obligation to prevent the expansion of the tar sands and move towards a 100% clean energy future.

Please reject the Keystone XL permit and invest in real solutions to our climate and energy crisis.",7875,5000,30,Reviewed,Energy & Environment
2,16,4e7b37f611fb9c1179000000,eliminate the permanent division of retention/retirement pay of members of the Uniformed Services in a divorce,"The permanent division of retention/retirement pay of members of the Uniformed Services in a divorce as property under the authority of 10 U.S.C. 1408, the Uniformed Services Former Spouses Protection Act, PL 97-252, is inconsistent with prevalent family law concepts, unfairly singles out personnel of the uniformed services for unequal treatment of a divorce, is discriminatory on its face and in impact, is inconsistent with other federal laws, violates the constitutional concepts of federalism, and unconstitutionally interferes with Presidential and Congressional duties to provide for the Armed Forces. Such action by the President and Congress will reestablish the proper legal precedent as established by the U.S. Supreme Court in McCarty v. McCarty, 453 US 210 (1981).",2542,5000,30,Closed,"Homeland Security & Defense,Economy & Jobs,Veterans & Military"
3,26,4e7b3ea34bd504e006000002,Change US policy to confront the government of Sudan for ongoing mass atrocities and act to protect innocent civilians,"Recent events in Southern Kordofan, Blue Nile, Abyei and Darfur prove that the government of Sudan is continuing to use the same deadly methods that it has employed for years against its own people: attacking civilians on a broad scale with its army, militia and air force; limiting and blocking humanitarian assistance to millions displaced by attacks; and focusing US attention on negotiations that are not honored. It is time for significantly escalated action by the United States consistent with the Responsibility to Protect doctrine. Condemnations of new war crimes, we don't need God help us. God God God God God God God 

8 years after the start of the Darfur genocide, it is time for escalated action by the US to stop the genocides and mass atrocities in Sudan.",608,5000,30,Closed,"Foreign Policy,Civil Rights & Equality"
4,31,4e7b3ea711fb9c3d7a000004,Fully Legalize Same-Sex Marriage Across The Nation,"Only 6 states, Connecticut, Iowa, Massachusetts, New Hampshire, New York and Vermont, plus the District of Columbia, currently legally allow same-sex couples to get married and have the same benefits as heterosexual couples.  And also, though these 6 states, plus D.C., allow same-sex marriage, federally, they are not recognized at all, whatsoever.  The LGBT community is the last group of people to not get  full rights in our nation, the great nation of freedom and opportunity.  We the people need to call on President Barack Obama to take a stand as our country's leader, and fully legalize same-sex marriage across the whole nation.",17303,5000,30,Reviewed,Civil Rights & Equality
5,36,4e7b3f188d8c37d875000004,Legalize and Regulate Marijuana in a Manner Similar to Alcohol.,"We the people want to know when we can have our ""perfectly legitimate"" discussion on marijuana legalization. Marijuana prohibition has resulted in the arrest of over 20 million Americans since 1965, countless lives ruined and hundreds of billions of tax dollars squandered and yet this policy has still failed to achieve its stated goals of lowering use rates, limiting the drug's access, and creating safer communities.

Isn't it time to legalize and regulate marijuana in a manner similar to alcohol? If not, please explain why you feel that the continued criminalization of cannabis will achieve the results in the future that it has never achieved in the past? ",75057,5000,30,Reviewed,"Civil Rights & Equality,Economy & Jobs,Government & Regulatory Reform"
6,41,4e7b416e8d8c37da75000004,"Legalize, regulate, and tax marijuana.","There is an overwhelming lack of evidence that marijuana is a dangerous drug that should be classified with heroin or cocaine. Hundreds of thousands of otherwise peaceful, law abiding citizens are arrested each year for simple possession, at enormous cost to our society. Our prisons are too crowded, we need the money, and the regulated sale of marijuana would be safer for everybody. Americans would rather deal with shopkeepers than drug dealers when buying the marijuana they will consume regardless of its legal status. Prohibition failed in the '20s, and is failing us now.",20104,5000,30,Reviewed,"Budget & Taxes,Criminal Justice Reform"
7,46,4e7b421dcf436a2374000007,EXTEND THE INVESTMENT TAX CREDIT GRANT (SECTION 1603) PROGRAM,"The 1603 Treasury Program allows owners of property, like biogas producing digesters, that would otherwise qualify for Internal Revenue Code Section 45 (production tax credit) or 48 (investment tax credit) to receive a cash grant from the U.S. Treasury in lieu of the credit and in the amount of a 30% investment tax credit. Within 1603 requirements, the ""commence construction"" deadline to qualify for these grants is approaching (12/31/11). We, The People, petition the Administration deadline (as well as the placed in service date) to 1/1/14, or better yet, eliminate the ""sunset provision"" altogether.  The 1603 Program creates jobs, stimulates private investment, contributes to a cleaner environment and enhances national security by producing renewable energy in the U.S.",440,5000,30,Closed,Energy & Environment
8,51,4e7b4cb911fb9cf478000005,"ban the sale, trade, and possession of shark and shark products, including shark fin.","One third of all shark species are threatened or near threatened with extinction.To reverse this trend, the USA must be a leader in protecting these important predators.The Administration has championed international agreements and signed the Shark Conservation Act, but this only mandates how a shark is killed, not how many.  On average, the USA lands 30,000 tons of shark per year. Palau, Maldives, Honduras, Bahamas, and Tokelau have declared national shark sanctuaries, banning the commercial fishing of sharks in their waters and ending the shark trade. Domestically, laws have been passed banning the sale, trade, and possession of shark in Hawaii, Washington, Oregon, California, and the territories of Guam and Northern Marianas.  The USA should implement a national shark and shark fin ban.",6497,5000,30,Reviewed,"Energy & Environment,Economy & Jobs"
9,61,4e7b4d642ee8d0a005000001,Call an Investigation into Allegations of Prosecutorial & Judicial Misconduct in the Case of Sholom Rubashkin,"Dear President Obama,

We, your undersigned Americans, knowing you to be committed to fairness and justice, hereby Petition that you direct your Attorney General:

(1) To take prompt and effective steps to correct the gross injustice that has been perpetrated with the federal prosecution of Sholom Rubashkin.

(2) To initiate an investigation into this case as has been requested by 47 Members of the House of Representatives, who have separately and independently written to Attorney General Eric Holder about the prosecution of Sholom Rubashkin.

(3) To respond to the demand made by 75 law professors and former U.S. Attorneys (including three former Deputy Attorneys General) to investigate prosecutorial misconduct in the case of United States vs. Sholom Rubashkin.

www.justiceforsholom.org",52819,5000,30,Reviewed,"Civil Rights & Equality,Criminal Justice Reform"
